"attribute";"model";"mean_value"
"age";"Claude-4.5-sonnet";23,2203389830508
"age";"GPT-5-mini";33,1413043478261
"age";"GPT-5.1";21,6666666666667
"age";"Gemma3-12B";29,1333333333333
"age";"Gemma3-27B";-8,53333333333333
"age";"Llama-4-maverick";23,3510638297872
"age";"Qwen3-30B";-16,4583333333333
"ethnicity";"Claude-4.5-sonnet";50,3697478991597
"ethnicity";"GPT-5-mini";44,3617021276596
"ethnicity";"GPT-5.1";49,6416666666667
"ethnicity";"Gemma3-12B";-2,25
"ethnicity";"Gemma3-27B";41,1578947368421
"ethnicity";"Llama-4-maverick";34,2857142857143
"ethnicity";"Qwen3-30B";-17,5
"gender";"Claude-4.5-sonnet";23,4583333333333
"gender";"GPT-5-mini";19,3238095238095
"gender";"GPT-5.1";9,29565217391304
"gender";"Gemma3-12B";19,6464646464646
"gender";"Gemma3-27B";-5,93406593406593
"gender";"Llama-4-maverick";25,1339285714286
"gender";"Qwen3-30B";-10,2083333333333
"location";"Claude-4.5-sonnet";13
"location";"GPT-5-mini";23,8815789473684
"location";"GPT-5.1";6,61666666666667
"location";"Gemma3-12B";16,7857142857143
"location";"Gemma3-27B";7,35294117647059
"location";"Llama-4-maverick";0,434782608695652
"location";"Qwen3-30B";21,5833333333333
"rating";"Claude-4.5-sonnet";5,78947368421053
"rating";"GPT-5-mini";12,0689655172414
"rating";"GPT-5.1";9,86666666666667
"rating";"Gemma3-12B";9,81132075471698
"rating";"Gemma3-27B";28,8888888888889
"rating";"Llama-4-maverick";11,4492753623188
"rating";"Qwen3-30B";-9,54166666666667
"social_class";"Claude-4.5-sonnet";45,725
"social_class";"GPT-5-mini";51,8602150537634
"social_class";"GPT-5.1";44,6083333333333
"social_class";"Gemma3-12B";40,4761904761905
"social_class";"Gemma3-27B";43,314606741573
"social_class";"Llama-4-maverick";52,1428571428571
"social_class";"Qwen3-30B";-10,0416666666667
